"workerid","proliferate.condition","block_id","condition","item_id","original_choice","response","rt","trial_num","verb","error","response_corr","response_num","discourse_type"
308,"condition1","0","juede_unclear",112,"觉得","juede",14726,1,"juede",NA,"correct",1,"unconstrained"
308,"condition1","0","yiwei_contrastive",3,"以为","yiwei",13600,2,"yiwei",NA,"correct",1,"constrained"
308,"condition1","0","juede_contrastive",18,"以为","yiwei",9735,3,"juede",NA,"incorrect",0,"constrained"
308,"condition1","0","yiwei_unclear",110,"以为","yiwei",19855,5,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","0","yiwei_unclear",103,"以为","yiwei",12593,6,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","0","juede_unclear",115,"觉得","juede",10104,7,"juede",NA,"correct",1,"unconstrained"
308,"condition1","0","yiwei_contrastive",9,"以为","yiwei",15240,8,"yiwei",NA,"correct",1,"constrained"
308,"condition1","0","juede_contrastive",13,"以为","yiwei",12008,10,"juede",NA,"incorrect",0,"constrained"
308,"condition1","1","juede_unclear",111,"觉得","juede",3545,12,"juede",NA,"correct",1,"unconstrained"
308,"condition1","1","yiwei_contrastive",10,"以为","yiwei",9088,13,"yiwei",NA,"correct",1,"constrained"
308,"condition1","1","yiwei_unclear",109,"以为","yiwei",12728,14,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","1","juede_unclear",119,"觉得","juede",5368,16,"juede",NA,"correct",1,"unconstrained"
308,"condition1","1","juede_contrastive",16,"觉得","juede",4872,17,"juede",NA,"correct",1,"constrained"
308,"condition1","1","yiwei_contrastive",2,"以为","yiwei",7353,18,"yiwei",NA,"correct",1,"constrained"
308,"condition1","1","yiwei_unclear",105,"以为","yiwei",110535,19,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","1","juede_contrastive",12,"觉得","juede",5727,20,"juede",NA,"correct",1,"constrained"
308,"condition1","2","juede_unclear",118,"觉得","juede",8096,21,"juede",NA,"correct",1,"unconstrained"
308,"condition1","2","juede_unclear",117,"觉得","juede",13545,22,"juede",NA,"correct",1,"unconstrained"
308,"condition1","2","juede_contrastive",20,"觉得","juede",16905,24,"juede",NA,"correct",1,"constrained"
308,"condition1","2","yiwei_contrastive",1,"以为","yiwei",12872,25,"yiwei",NA,"correct",1,"constrained"
308,"condition1","2","juede_contrastive",19,"觉得","juede",4344,26,"juede",NA,"correct",1,"constrained"
308,"condition1","2","yiwei_unclear",104,"以为","yiwei",5383,27,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","2","yiwei_contrastive",8,"以为","yiwei",6105,28,"yiwei",NA,"correct",1,"constrained"
308,"condition1","2","yiwei_unclear",107,"以为","yiwei",7872,30,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","3","yiwei_unclear",102,"以为","yiwei",5440,31,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","3","yiwei_contrastive",7,"以为","yiwei",22233,32,"yiwei",NA,"correct",1,"constrained"
308,"condition1","3","yiwei_contrastive",5,"以为","yiwei",17768,33,"yiwei",NA,"correct",1,"constrained"
308,"condition1","3","yiwei_unclear",101,"以为","yiwei",14503,34,"yiwei",NA,"correct",1,"unconstrained"
308,"condition1","3","juede_contrastive",15,"以为","yiwei",18993,35,"juede",NA,"incorrect",0,"constrained"
308,"condition1","3","juede_unclear",120,"觉得","juede",7184,36,"juede",NA,"correct",1,"unconstrained"
308,"condition1","3","juede_unclear",116,"觉得","juede",4128,37,"juede",NA,"correct",1,"unconstrained"
308,"condition1","3","juede_contrastive",11,"觉得","juede",3776,40,"juede",NA,"correct",1,"constrained"
308,"condition1","4","juede_contrastive",14,"觉得","juede",11991,41,"juede",NA,"correct",1,"constrained"
308,"condition1","4","juede_unclear",113,"觉得","juede",3993,42,"juede",NA,"correct",1,"unconstrained"
308,"condition1","4","yiwei_contrastive",6,"以为","yiwei",15168,44,"yiwei",NA,"correct",1,"constrained"
308,"condition1","4","yiwei_contrastive",4,"以为","yiwei",12752,45,"yiwei",NA,"correct",1,"constrained"
308,"condition1","4","juede_unclear",114,"觉得","juede",9569,47,"juede",NA,"correct",1,"unconstrained"
308,"condition1","4","juede_contrastive",17,"觉得","juede",10304,48,"juede",NA,"correct",1,"constrained"
308,"condition1","4","yiwei_unclear",108,"觉得","juede",13447,49,"yiwei",NA,"incorrect",0,"unconstrained"
308,"condition1","4","yiwei_unclear",106,"以为","yiwei",18964,50,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","0","juede_contrastive",11,"觉得","juede",45050,1,"juede",NA,"correct",1,"constrained"
319,"condition1","0","yiwei_contrastive",8,"以为","yiwei",60847,2,"yiwei",NA,"correct",1,"constrained"
319,"condition1","0","juede_contrastive",19,"觉得","juede",21007,3,"juede",NA,"correct",1,"constrained"
319,"condition1","0","yiwei_contrastive",5,"以为","yiwei",14232,4,"yiwei",NA,"correct",1,"constrained"
319,"condition1","0","juede_unclear",115,"觉得","juede",37283,5,"juede",NA,"correct",1,"unconstrained"
319,"condition1","0","yiwei_unclear",108,"以为","yiwei",37087,7,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","0","juede_unclear",118,"觉得","juede",62736,8,"juede",NA,"correct",1,"unconstrained"
319,"condition1","0","yiwei_unclear",103,"以为","yiwei",32901,10,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","1","yiwei_unclear",106,"以为","yiwei",44985,12,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","1","juede_unclear",112,"觉得","juede",32479,14,"juede",NA,"correct",1,"unconstrained"
319,"condition1","1","juede_unclear",113,"觉得","juede",23684,15,"juede",NA,"correct",1,"unconstrained"
319,"condition1","1","yiwei_contrastive",7,"以为","yiwei",46401,16,"yiwei",NA,"correct",1,"constrained"
319,"condition1","1","yiwei_unclear",101,"以为","yiwei",19007,17,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","1","juede_contrastive",17,"觉得","juede",25207,18,"juede",NA,"correct",1,"constrained"
319,"condition1","1","juede_contrastive",15,"觉得","juede",47564,19,"juede",NA,"correct",1,"constrained"
319,"condition1","1","yiwei_contrastive",10,"以为","yiwei",22267,20,"yiwei",NA,"correct",1,"constrained"
319,"condition1","2","yiwei_contrastive",9,"以为","yiwei",37582,21,"yiwei",NA,"correct",1,"constrained"
319,"condition1","2","juede_contrastive",16,"觉得","juede",21895,22,"juede",NA,"correct",1,"constrained"
319,"condition1","2","juede_unclear",116,"以为","yiwei",50422,23,"juede",NA,"incorrect",0,"unconstrained"
319,"condition1","2","yiwei_unclear",104,"觉得","juede",33660,24,"yiwei",NA,"incorrect",0,"unconstrained"
319,"condition1","2","juede_unclear",114,"觉得","juede",26699,26,"juede",NA,"correct",1,"unconstrained"
319,"condition1","2","yiwei_contrastive",2,"以为","yiwei",39778,27,"yiwei",NA,"correct",1,"constrained"
319,"condition1","2","juede_contrastive",18,"觉得","juede",26070,28,"juede",NA,"correct",1,"constrained"
319,"condition1","2","yiwei_unclear",102,"以为","yiwei",49026,29,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","3","juede_contrastive",12,"觉得","juede",26039,31,"juede",NA,"correct",1,"constrained"
319,"condition1","3","yiwei_unclear",109,"以为","yiwei",31892,32,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","3","yiwei_contrastive",1,"以为","yiwei",38511,34,"yiwei",NA,"correct",1,"constrained"
319,"condition1","3","juede_contrastive",20,"觉得","juede",38961,35,"juede",NA,"correct",1,"constrained"
319,"condition1","3","juede_unclear",119,"觉得","juede",19606,36,"juede",NA,"correct",1,"unconstrained"
319,"condition1","3","juede_unclear",111,"觉得","juede",16620,38,"juede",NA,"correct",1,"unconstrained"
319,"condition1","3","yiwei_unclear",110,"以为","yiwei",67199,39,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","3","yiwei_contrastive",3,"以为","yiwei",39839,40,"yiwei",NA,"correct",1,"constrained"
319,"condition1","4","yiwei_unclear",105,"以为","yiwei",57875,42,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","4","juede_contrastive",13,"觉得","juede",17241,43,"juede",NA,"correct",1,"constrained"
319,"condition1","4","juede_unclear",120,"觉得","juede",39939,44,"juede",NA,"correct",1,"unconstrained"
319,"condition1","4","yiwei_contrastive",4,"以为","yiwei",69457,45,"yiwei",NA,"correct",1,"constrained"
319,"condition1","4","yiwei_unclear",107,"以为","yiwei",23539,46,"yiwei",NA,"correct",1,"unconstrained"
319,"condition1","4","juede_contrastive",14,"觉得","juede",30353,48,"juede",NA,"correct",1,"constrained"
319,"condition1","4","yiwei_contrastive",6,"以为","yiwei",42096,49,"yiwei",NA,"correct",1,"constrained"
319,"condition1","4","juede_unclear",117,"觉得","juede",44024,50,"juede",NA,"correct",1,"unconstrained"
283,"condition1","0","juede_unclear",115,"觉得","juede",20428,1,"juede",NA,"correct",1,"unconstrained"
283,"condition1","0","yiwei_contrastive",4,"以为","yiwei",27163,2,"yiwei",NA,"correct",1,"constrained"
283,"condition1","0","juede_unclear",113,"觉得","juede",18604,3,"juede",NA,"correct",1,"unconstrained"
283,"condition1","0","yiwei_contrastive",10,"觉得","juede",12229,5,"yiwei",NA,"incorrect",0,"constrained"
283,"condition1","0","juede_contrastive",15,"觉得","juede",24031,6,"juede",NA,"correct",1,"constrained"
283,"condition1","0","yiwei_unclear",104,"以为","yiwei",24350,7,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","0","yiwei_unclear",106,"以为","yiwei",23629,9,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","0","juede_contrastive",17,"觉得","juede",9702,10,"juede",NA,"correct",1,"constrained"
283,"condition1","1","yiwei_unclear",103,"以为","yiwei",18443,12,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","1","juede_contrastive",12,"觉得","juede",7908,13,"juede",NA,"correct",1,"constrained"
283,"condition1","1","yiwei_contrastive",6,"以为","yiwei",15380,14,"yiwei",NA,"correct",1,"constrained"
283,"condition1","1","juede_unclear",119,"觉得","juede",15239,15,"juede",NA,"correct",1,"unconstrained"
283,"condition1","1","juede_unclear",114,"觉得","juede",8631,17,"juede",NA,"correct",1,"unconstrained"
283,"condition1","1","yiwei_contrastive",3,"以为","yiwei",14267,18,"yiwei",NA,"correct",1,"constrained"
283,"condition1","1","juede_contrastive",11,"觉得","juede",9139,19,"juede",NA,"correct",1,"constrained"
283,"condition1","1","yiwei_unclear",109,"以为","yiwei",9395,20,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","2","juede_unclear",117,"觉得","juede",23111,21,"juede",NA,"correct",1,"unconstrained"
283,"condition1","2","juede_contrastive",19,"觉得","juede",11398,22,"juede",NA,"correct",1,"constrained"
283,"condition1","2","yiwei_unclear",110,"以为","yiwei",17016,24,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","2","juede_contrastive",13,"觉得","juede",11002,26,"juede",NA,"correct",1,"constrained"
283,"condition1","2","juede_unclear",112,"觉得","juede",10368,27,"juede",NA,"correct",1,"unconstrained"
283,"condition1","2","yiwei_contrastive",8,"以为","yiwei",16442,28,"yiwei",NA,"correct",1,"constrained"
283,"condition1","2","yiwei_unclear",101,"以为","yiwei",10624,29,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","2","yiwei_contrastive",5,"以为","yiwei",16226,30,"yiwei",NA,"correct",1,"constrained"
283,"condition1","3","yiwei_unclear",102,"觉得","juede",20183,31,"yiwei",NA,"incorrect",0,"unconstrained"
283,"condition1","3","yiwei_contrastive",7,"以为","yiwei",17661,32,"yiwei",NA,"correct",1,"constrained"
283,"condition1","3","juede_contrastive",20,"觉得","juede",14984,33,"juede",NA,"correct",1,"constrained"
283,"condition1","3","juede_contrastive",18,"觉得","juede",10484,34,"juede",NA,"correct",1,"constrained"
283,"condition1","3","juede_unclear",118,"觉得","juede",7953,36,"juede",NA,"correct",1,"unconstrained"
283,"condition1","3","juede_unclear",116,"觉得","juede",11018,37,"juede",NA,"correct",1,"unconstrained"
283,"condition1","3","yiwei_contrastive",1,"以为","yiwei",8278,39,"yiwei",NA,"correct",1,"constrained"
283,"condition1","3","yiwei_unclear",107,"以为","yiwei",9073,40,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","4","juede_contrastive",16,"觉得","juede",9737,41,"juede",NA,"correct",1,"constrained"
283,"condition1","4","juede_unclear",111,"觉得","juede",6936,42,"juede",NA,"correct",1,"unconstrained"
283,"condition1","4","juede_contrastive",14,"觉得","juede",6498,43,"juede",NA,"correct",1,"constrained"
283,"condition1","4","yiwei_unclear",105,"以为","yiwei",19830,44,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","4","yiwei_unclear",108,"以为","yiwei",19154,45,"yiwei",NA,"correct",1,"unconstrained"
283,"condition1","4","juede_unclear",120,"觉得","juede",7414,46,"juede",NA,"correct",1,"unconstrained"
283,"condition1","4","yiwei_contrastive",2,"以为","yiwei",7918,48,"yiwei",NA,"correct",1,"constrained"
283,"condition1","4","yiwei_contrastive",9,"以为","yiwei",16088,50,"yiwei",NA,"correct",1,"constrained"
346,"condition1","0","juede_contrastive",15,"觉得","juede",29097,1,"juede",NA,"correct",1,"constrained"
346,"condition1","0","yiwei_contrastive",6,"以为","yiwei",13213,2,"yiwei",NA,"correct",1,"constrained"
346,"condition1","0","juede_contrastive",20,"觉得","juede",21059,3,"juede",NA,"correct",1,"constrained"
346,"condition1","0","yiwei_unclear",107,"以为","yiwei",21109,4,"yiwei",NA,"correct",1,"unconstrained"
346,"condition1","0","juede_unclear",118,"觉得","juede",14409,7,"juede",NA,"correct",1,"unconstrained"
346,"condition1","0","yiwei_unclear",110,"觉得","juede",48924,8,"yiwei",NA,"incorrect",0,"unconstrained"
346,"condition1","0","yiwei_contrastive",5,"以为","yiwei",22571,9,"yiwei",NA,"correct",1,"constrained"
