workerid,proliferate.condition,Browser,OS,screenH,screenW,error
308,condition1,Chrome,Windows,1152,2048,
319,condition1,Chrome,Windows,1080,1920,
283,condition1,Chrome,Windows,900,1600,
346,condition1,Safari,Mac,785,1451,
323,condition1,Chrome,Windows,1310,2328,
359,condition1,Chrome,Mac,1050,1680,
337,condition1,Chrome,Windows,960,1707,
295,condition1,Chrome,Windows,1257,2235,
331,condition1,Chrome,Windows,864,1536,
353,condition1,Safari,iPhone/iPod,844,390,
322,condition1,Chrome,Windows,934,1494,
314,condition1,Chrome,Linux,780,360,
345,condition1,Chrome,Windows,864,1536,
352,condition1,Safari,an unknown OS,1024,768,
296,condition1,Safari,iPhone/iPod,852,393,
349,condition1,Chrome,Windows,720,1280,
333,condition1,Chrome,Windows,960,1440,
328,condition1,Chrome,Windows,864,1536,
320,condition1,Chrome,Mac,1440,2560,
347,condition1,Chrome,Mac,1440,2560,
344,condition1,Chrome,Windows,768,1366,
360,condition1,Chrome,Windows,1080,1920,
332,condition1,Safari,iPhone/iPod,852,393,
289,condition1,Safari,iPhone/iPod,874,402,
312,condition1,Chrome,Windows,1080,1920,
350,condition1,Safari,iPhone/iPod,844,390,
356,condition1,Chrome,Mac,982,1512,
299,condition1,Chrome,Mac,982,1512,
303,condition1,Safari,iPhone/iPod,852,393,
290,condition1,Chrome,Windows,1080,1920,
309,condition1,Chrome,Windows,960,1536,
300,condition1,Chrome,Windows,860,1290,
286,condition1,Chrome,Windows,1080,1920,
321,condition1,Chrome,Windows,864,1536,
315,condition1,Safari,iPhone/iPod,932,430,
285,condition1,Chrome,Mac,900,1440,
342,condition1,Chrome,Mac,1050,1680,
311,condition1,Chrome,Windows,720,1280,
301,condition1,Chrome,Windows,1440,2560,
329,condition1,Chrome,Linux,1974,1232,
318,condition1,Chrome,Mac,900,1440,
291,condition1,Chrome,Windows,900,1440,
298,condition1,Safari,iPhone/iPod,844,390,
317,condition1,Chrome,Linux,832,384,
297,condition1,Chrome,Windows,915,1463,
313,condition1,Chrome,Mac,1112,1710,
316,condition1,Chrome,Windows,864,1536,
305,condition1,Chrome,Windows,800,1280,
326,condition1,Chrome,Windows,864,1536,
292,condition1,Chrome,Windows,900,1440,
