workerid,proliferate.condition,time_in_minutes,error
308,condition1,20.196533333333335,
319,condition1,33.2375,
283,condition1,13.891533333333332,
346,condition1,17.641183333333334,
323,condition1,40.854283333333335,
359,condition1,16.418033333333334,
337,condition1,17.61475,
295,condition1,7.39855,
331,condition1,12.42125,
353,condition1,20.578666666666667,
322,condition1,18.93775,
314,condition1,23.917783333333333,
345,condition1,20.088166666666663,
352,condition1,14.6224,
296,condition1,12.45815,
349,condition1,5.64605,
333,condition1,15.7876,
328,condition1,20.808783333333334,
320,condition1,6.765216666666666,
347,condition1,8.920433333333333,
344,condition1,11.236283333333333,
360,condition1,15.15145,
332,condition1,24.34715,
289,condition1,20.217116666666666,
312,condition1,16.930333333333333,
350,condition1,21.06705,
356,condition1,15.3874,
299,condition1,13.059933333333332,
303,condition1,21.638183333333338,
290,condition1,42.5362,
309,condition1,12.445633333333332,
300,condition1,17.26953333333333,
286,condition1,29.030166666666663,
321,condition1,20.653016666666662,
315,condition1,7.11935,
285,condition1,10.31425,
342,condition1,157.30295,
311,condition1,26.601366666666667,
301,condition1,6.9491,
329,condition1,15.81735,
318,condition1,8.06495,
291,condition1,42.251666666666665,
298,condition1,25.65165,
317,condition1,11.729166666666666,
297,condition1,14.885166666666668,
313,condition1,14.929316666666669,
316,condition1,17.313316666666665,
305,condition1,10.39215,
326,condition1,9.592466666666668,
292,condition1,32.1537,
