workerid,proliferate.condition,Browser,OS,screenH,screenW,error
354,condition1,Chrome,Mac,932,1440,
324,condition1,Chrome,Windows,720,1280,
377,condition1,Chrome,Mac,900,1440,
288,condition1,Chrome,Mac,956,1470,
373,condition1,Chrome,Mac,982,1512,
293,condition1,Safari,iPhone/iPod,693,320,
368,condition1,Safari,an unknown OS,1112,834,
338,condition1,Chrome,Windows,800,1280,
306,condition1,Safari,iPhone/iPod,844,390,
364,condition1,Chrome,Windows,720,1280,
370,condition1,Chrome,Windows,864,1536,
384,condition1,Chrome,Windows,1080,1920,
380,condition1,Chrome,Mac,1080,1920,
378,condition1,Chrome,Windows,1080,1920,
372,condition1,Chrome,Mac,1117,1728,
348,condition1,Safari,Mac,1080,1920,
363,condition1,Chrome,Mac,982,1512,
358,condition1,Chrome,Mac,1050,1680,
340,condition1,Safari,iPhone/iPod,926,428,
351,condition1,Chrome,Mac,956,1470,
343,condition1,Safari,iPhone/iPod,844,390,
330,condition1,Safari,iPhone/iPod,956,440,
334,condition1,Chrome,Windows,800,1280,
302,condition1,Chrome,Windows,768,1366,
335,condition1,Chrome,Mac,1112,1710,
376,condition1,Chrome,Mac,900,1440,
310,condition1,Chrome,Mac,982,1512,
379,condition1,Chrome,Windows,1235,2195,
325,condition1,Chrome,Windows,1080,1920,
382,condition1,Safari,iPhone/iPod,852,393,
371,condition1,Chrome,Mac,1050,1680,
341,condition1,Chrome,Linux,915,412,
367,condition1,Safari,iPhone/iPod,852,393,
327,condition1,Chrome,Windows,1280,2048,
366,condition1,Chrome,Mac,956,1470,
383,condition1,Chrome,Windows,800,1280,
381,condition1,Chrome,Linux,877,412,
357,condition1,Chrome,Linux,915,412,
287,condition1,Chrome,Windows,1080,1920,
369,condition1,Chrome,Windows,1440,2560,
362,condition1,Safari,iPhone/iPod,874,402,
294,condition1,Safari,iPhone/iPod,852,393,
374,condition1,Chrome,Windows,1152,2048,
375,condition1,Chrome,Windows,864,1536,
355,condition1,Chrome,Windows,864,1536,
336,condition1,Chrome,Mac,900,1440,
307,condition1,Chrome,Mac,956,1470,
365,condition1,Safari,iPhone/iPod,667,375,
361,condition1,Chrome,Mac,832,1280,
