workerid,proliferate.condition,time_in_minutes,error
354,condition1,5.472966666666666,
324,condition1,4.8064,
377,condition1,12.755083333333332,
288,condition1,3.71665,
373,condition1,5.629083333333333,
293,condition1,8.5152,
368,condition1,5.25265,
338,condition1,3.5768,
306,condition1,5.085883333333333,
364,condition1,3.8052166666666665,
370,condition1,3.8487,
384,condition1,5.4687,
380,condition1,13.3853,
378,condition1,6.828,
372,condition1,5.757316666666667,
348,condition1,4.697733333333334,
363,condition1,19.00261666666667,
358,condition1,6.2907,
340,condition1,4.038916666666666,
351,condition1,9.546466666666667,
343,condition1,5.449033333333333,
330,condition1,5.5127,
334,condition1,4.84615,
302,condition1,10.40465,
335,condition1,5.896983333333333,
376,condition1,8.026,
310,condition1,5.639383333333333,
379,condition1,11.017733333333334,
325,condition1,5.059433333333334,
382,condition1,10.678966666666666,
371,condition1,6.5438833333333335,
341,condition1,13.91285,
367,condition1,6.3446,
327,condition1,6.11555,
366,condition1,5.54,
383,condition1,12.7112,
381,condition1,10.115083333333333,
357,condition1,13.439033333333333,
287,condition1,10.14895,
369,condition1,6.530466666666666,
362,condition1,4.022583333333333,
294,condition1,13.065166666666666,
374,condition1,3.711516666666667,
375,condition1,7.789333333333333,
355,condition1,5.6131166666666665,
336,condition1,7.333233333333333,
307,condition1,6.357716666666667,
365,condition1,6.304566666666667,
361,condition1,4.232483333333334,
