workerid,proliferate.condition,block_id,condition,item_id,response,rt,trial_num,verb,error,answer,response_correct,response_clean,response_type,response_num,discourse_type
452,condition1,0,juede_unclear,114,看,19878,1,juede,NA,NA,NA,other,non-other,0,unconstrained
452,condition1,0,yiwei_contrastive,9,要,15941,3,yiwei,NA,NA,NA,other,ambiguous want,0,constrained
452,condition1,0,yiwei_unclear,103,是,19264,4,yiwei,NA,NA,NA,other,other,0,unconstrained
452,condition1,0,juede_unclear,111,觉得,7560,5,juede,NA,NA,NA,juede,non-belief,1,unconstrained
452,condition1,0,juede_contrastive,15,的,18838,6,juede,NA,NA,NA,other,other,0,constrained
452,condition1,0,yiwei_unclear,106,剩,14825,7,yiwei,NA,NA,NA,other,other,0,unconstrained
452,condition1,0,yiwei_contrastive,10,不,13436,8,yiwei,NA,NA,NA,other,other,0,constrained
452,condition1,0,juede_contrastive,19,挺,6811,10,juede,NA,NA,NA,other,other,0,constrained
452,condition1,1,juede_unclear,113,说,4881,11,juede,NA,NA,NA,other,non-say,0,unconstrained
452,condition1,1,yiwei_contrastive,5,认为,5272,13,yiwei,NA,NA,NA,other,non-belief,0,constrained
452,condition1,1,yiwei_unclear,102,猜,55121,15,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
452,condition1,1,yiwei_contrastive,3,就,14745,16,yiwei,NA,NA,NA,other,other,0,constrained
452,condition1,1,juede_contrastive,16,感觉,17540,17,juede,NA,NA,NA,other,non-belief,0,constrained
452,condition1,1,juede_unclear,119,看,5219,18,juede,NA,NA,NA,other,non-other,0,unconstrained
452,condition1,1,juede_contrastive,14,出生,4225,19,juede,NA,NA,NA,other,other,0,constrained
452,condition1,1,yiwei_unclear,108,觉得,42810,20,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
452,condition1,2,yiwei_contrastive,8,赞同,23934,21,yiwei,NA,NA,NA,other,other,0,constrained
452,condition1,2,yiwei_contrastive,7,看,9567,22,yiwei,NA,NA,NA,other,non-other,0,constrained
452,condition1,2,yiwei_unclear,104,看,26424,23,yiwei,NA,NA,NA,other,non-other,0,unconstrained
452,condition1,2,juede_contrastive,20,瞧,6505,24,juede,NA,NA,NA,other,other,0,constrained
452,condition1,2,juede_unclear,118,猜,3631,25,juede,NA,NA,NA,other,non-belief,0,unconstrained
452,condition1,2,juede_contrastive,12,认为,2944,26,juede,NA,NA,NA,other,non-belief,0,constrained
452,condition1,2,yiwei_unclear,109,觉得,12394,27,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
452,condition1,2,juede_unclear,120,待在,5981,28,juede,NA,NA,NA,other,other,0,unconstrained
452,condition1,3,yiwei_unclear,107,说,4384,33,yiwei,NA,NA,NA,other,non-say,0,unconstrained
452,condition1,3,yiwei_contrastive,1,说,7050,34,yiwei,NA,NA,NA,other,non-say,0,constrained
452,condition1,3,yiwei_contrastive,2,瞧,4186,35,yiwei,NA,NA,NA,other,other,0,constrained
452,condition1,3,juede_contrastive,18,待,8254,36,juede,NA,NA,NA,other,other,0,constrained
452,condition1,3,yiwei_unclear,101,责怪,5600,37,yiwei,NA,NA,NA,other,other,0,unconstrained
452,condition1,3,juede_unclear,112,发现,3405,38,juede,NA,NA,NA,other,factive-other,0,unconstrained
452,condition1,3,juede_unclear,115,发现,2917,39,juede,NA,NA,NA,other,factive-other,0,unconstrained
452,condition1,3,juede_contrastive,11,看,5296,40,juede,NA,NA,NA,other,non-other,0,constrained
452,condition1,4,yiwei_contrastive,4,猜,5038,42,yiwei,NA,NA,NA,other,non-belief,0,constrained
452,condition1,4,juede_contrastive,17,才,3154,43,juede,NA,NA,NA,other,other,0,constrained
452,condition1,4,juede_unclear,117,放,9104,44,juede,NA,NA,NA,other,other,0,unconstrained
452,condition1,4,yiwei_unclear,105,觉得这,31496,45,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
452,condition1,4,yiwei_contrastive,6,猜,4632,46,yiwei,NA,NA,NA,other,non-belief,0,constrained
452,condition1,4,juede_unclear,116,看,3874,48,juede,NA,NA,NA,other,non-other,0,unconstrained
452,condition1,4,yiwei_unclear,110,看,13174,49,yiwei,NA,NA,NA,other,non-other,0,unconstrained
452,condition1,4,juede_contrastive,13,用的,13978,50,juede,NA,NA,NA,other,other,0,constrained
512,condition1,0,juede_contrastive,16,拿的,52709,1,juede,NA,NA,NA,other,other,0,constrained
512,condition1,0,juede_unclear,112,觉得,50361,2,juede,NA,NA,NA,juede,non-belief,1,unconstrained
512,condition1,0,yiwei_contrastive,9,要的,30216,4,yiwei,NA,NA,NA,other,other,0,constrained
512,condition1,0,yiwei_unclear,103,说,60623,5,yiwei,NA,NA,NA,other,non-say,0,unconstrained
512,condition1,0,yiwei_unclear,110,想,14816,7,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
512,condition1,0,juede_unclear,120,有,170456,8,juede,NA,NA,NA,other,other,0,unconstrained
512,condition1,0,yiwei_contrastive,1,说,11849,9,yiwei,NA,NA,NA,other,non-say,0,constrained
512,condition1,0,juede_contrastive,11,戴,54427,10,juede,NA,NA,NA,other,other,0,constrained
512,condition1,1,yiwei_unclear,101,说,75030,11,yiwei,NA,NA,NA,other,non-say,0,unconstrained
512,condition1,1,juede_unclear,111,觉得,14247,12,juede,NA,NA,NA,juede,non-belief,1,unconstrained
512,condition1,1,yiwei_unclear,106,算,61512,13,yiwei,NA,NA,NA,other,other,0,unconstrained
512,condition1,1,juede_unclear,114,不像,77692,14,juede,NA,NA,NA,other,other,0,unconstrained
512,condition1,1,yiwei_contrastive,10,还以为,57935,16,yiwei,NA,NA,NA,yiwei,contra,1,constrained
512,condition1,1,juede_contrastive,19,觉得,46304,18,juede,NA,NA,NA,juede,non-belief,1,constrained
512,condition1,1,juede_contrastive,15,看,59448,19,juede,NA,NA,NA,other,non-other,0,constrained
512,condition1,1,yiwei_contrastive,5,觉得,12881,20,yiwei,NA,NA,NA,juede,non-belief,0,constrained
512,condition1,2,yiwei_contrastive,4,看,13421,21,yiwei,NA,NA,NA,other,non-other,0,constrained
512,condition1,2,juede_unclear,116,看,76531,22,juede,NA,NA,NA,other,non-other,0,unconstrained
512,condition1,2,juede_unclear,118,觉得,68020,23,juede,NA,NA,NA,juede,non-belief,1,unconstrained
512,condition1,2,juede_contrastive,20,看,15149,24,juede,NA,NA,NA,other,non-other,0,constrained
512,condition1,2,yiwei_contrastive,3,就,52443,25,yiwei,NA,NA,NA,other,other,0,constrained
512,condition1,2,juede_contrastive,12,觉得,4907,28,juede,NA,NA,NA,juede,non-belief,1,constrained
512,condition1,2,yiwei_unclear,109,叫,73334,29,yiwei,NA,NA,NA,other,non-say,0,unconstrained
512,condition1,2,yiwei_unclear,104,看,27099,30,yiwei,NA,NA,NA,other,non-other,0,unconstrained
512,condition1,3,juede_contrastive,14,就,49924,32,juede,NA,NA,NA,other,other,0,constrained
512,condition1,3,juede_unclear,117,藏,42482,33,juede,NA,NA,NA,other,other,0,unconstrained
512,condition1,3,juede_contrastive,17,就,29116,34,juede,NA,NA,NA,other,other,0,constrained
512,condition1,3,yiwei_contrastive,8,可,31995,35,yiwei,NA,NA,NA,other,other,0,constrained
512,condition1,3,yiwei_unclear,107,当,33757,36,yiwei,NA,NA,NA,other,contra,0,unconstrained
512,condition1,3,yiwei_contrastive,2,以为,64574,37,yiwei,NA,NA,NA,yiwei,contra,1,constrained
512,condition1,3,yiwei_unclear,108,认为,40349,38,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
512,condition1,3,juede_unclear,113,觉得,6393,40,juede,NA,NA,NA,juede,non-belief,1,unconstrained
512,condition1,4,juede_unclear,115,想,50826,41,juede,NA,NA,NA,other,non-belief,0,unconstrained
512,condition1,4,juede_unclear,119,觉得,17445,42,juede,NA,NA,NA,juede,non-belief,1,unconstrained
512,condition1,4,yiwei_unclear,102,觉得,37452,44,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
512,condition1,4,yiwei_contrastive,7,才,34779,45,yiwei,NA,NA,NA,other,other,0,constrained
512,condition1,4,yiwei_unclear,105,就,53516,46,yiwei,NA,NA,NA,other,other,0,unconstrained
