id,file_name,age,speaker,sentence,subject,embedded_subject,sentence_type,embedded_type,adverb,modal,embedded_modal,negation,aspect,embedded_aspect,tense,in_context,where_context,translation,contrast,where_contrast
1,Chang1/4,5;11,child,"EXP: 你有没有看过?
CHI: 雪[^c].
EXP: 对雪.
CHI: ^所以我台湾以为都有雪[=我以为台湾都有雪][^c]后来没有[=后来才知道没有][^c].
EXP: 没有对.",first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,not_p,after,"exp: have you seen (snow)? child: snow. exp: yes, snow. child: so i thought taiwan thought always have snow (in the wrong word oder) then no (then realized there is no snow). exp: right, there is no snow.",知道,after
2,Chang1/9,5;07,child,CHI: 牠 就 以为 说  [^c] 弟弟 是 说 那 个  [^c] +...,third_person,dropped,declarative,declarative,就,no,no,no,no,no,no,unclear,unclear,child: then... called water dragon... water dragon will fight the war again. then (the water dragon) suddenly discovered a elephant. then he (the dragon?) thought said ... brother said that ... then he (the dragon) kicked kicked kicked. he ahh,no,no
3,LiZhou/4/1,4;03,child,CHI: 我 以为 你 xxx 房子 .,first_person,second_person,declarative,declarative,no,no,no,no,no,no,no,unclear,unclear,child: okay. <child's name> i thought you xxx house. is the house here broken down?,no,no
4,NSCtoys/4/a29_1,4;01,mother,"MOT:	我 以为 你 要 做 楼梯 耶 .",first_person,second_person,declarative,declarative,no,no,要,no,no,no,no,unclear,unclear,mom: then what is this? child: this is ... mom: i thought you would make a staircase. child: yeah. because...because that is (this?it?),no,no
5,NSCtoys/4/a36_3,4;03,mother,MOT:        <我 以为 是>  [//] 我 以为 他 是 tiger,first_person,third_person,declarative,declarative,no,no,no,no,no,no,no,p_alt,after,child: (it's) a cat. mom: a cat? yeah. i thought...i thought it is a tiger. but it's a cat. a big cat.,no,no
6,NSCtoys/4/a37_2,4;03,mother,MOT: 你 自 以为 你 现在 是 当 医生 打 屁股 „ 是不是 ?,second_person,second_person,rhetorical,declarative,no,no,no,no,no,no,no,not_p,unclear,"mom: push like this! spank the butt (give shots in the butt, in the context of a pretend play). you thought you're the doctor and spank the butt (give shots in the butt), aren't you?",当,after
7,NSCtoys/5-6_1/g09_1,4;02,mother,MOT:  我 以为 很 厉害 . ,first_person,dropped,declarative,declarative,no,no,no,no,no,no,no,p_not_p?,before,"mom: do you think this is not very impressive? can you do this? i thought it's impressive, child: everyone can",觉得,before
8,NSCtoys/2/d19_3,2;05,mother,"MOT:	妈妈 以为 他 是 荷包蛋 .",third_person,third_person,declarative,declarative,no,no,no,no,no,no,no,not_p,before,"that is not an egg, mom thought he was a fried-egg",no,no
9,NSCtoys/4-6_2/a12_3,4;11,mother,"MOT:	妈妈 本来 还 以为 牠 是 狗 .",third_person,third_person,declarative,declarative,"本来, 还",no,no,no,no,no,本来,not_p,both,"mom: he is not a dog, mom thought he was a dog,. child: he's a cat",no,no
10,NSCtoys/4-6_1/f05_1,4;07,mother,"MOT:	我 以为 他 可以 排 成 正方形 .",first_person,third_person,declarative,declarative,no,no,可以,no,no,no,no,not_p,before,mom: this can't form into a square. i thought it could form into a square. child: it can. mom: it turns out it can't. child: it can! mom: can it?,no,no
