item,verb,condition,sentence,target_sentence,option1,option2
901,以前,filler,"妈妈: 这是拼成一个什么形状啊？
孩子: 圆形。
妈妈: 对了。
妈妈: 这个实际上就是两个半圆形拼在一起，对吧？
孩子: 对。
妈妈: 另外这个我们以前没有看到过。
妈妈: 这个叫六边形。
孩子: 六边形。",妈妈: 另外这个我们以前没有看到过。,以前,以后
902,以前,filler,"妈妈: 画什么？
孩子: 鱼。
妈妈: 嗯，自己画！
孩子: 妈妈，你给我画 。
妈妈: 你画。
妈妈: 你不是以前画过鱼的吗？
妈妈: 还画得挺好的。
妈妈: 现在怎么不会了？",妈妈: 你不是以前画过鱼的吗？,以前,以后
903,以后,filler,"妈妈: 摆摆好，放整齐。
孩子: 这两个是一样的。
妈妈: 噢，一样的。
妈妈: 那盒子里装的是什么？
妈妈: 这是什么？
妈妈: 玩过了以后要收起来。
孩子: 这个 。
妈妈: 真好玩。",妈妈: 玩过了以后要收起来。,以前,以后
904,以后,filler,"妈妈: 你想搭什么？
孩子: 想搭一座小桥！
妈妈: 想搭小桥。
妈妈: 搭这个也好。
妈妈: 那你来搭吧！
妈妈: 底下要搭稳了以后才能把上面搭高。
妈妈: 就像建大楼一样。
妈妈: 下面建得很牢固上面才能搭高。",妈妈: 底下要搭稳了以后才能把上面搭高。,以前,以后
905,世外桃源,filler,"妈妈: 我们走了好久了。
孩子: 这里好远哦。
妈妈: 这里怎么这么安静？
孩子: 都没有车。
妈妈: 空气也很好。
爸爸: 感觉像个世外桃源。
孩子: 我们可以多待一会儿吗？
妈妈: 好。",爸爸: 感觉像个世外桃源。,桃源,花园
906,画龙点睛,filler,"妈妈: 阳台这边终于收拾干净了。
爸爸: 确实看着清爽多了。
爸爸: 不过看起来少了点生气。
爸爸: 要不要我把那盆绿萝挪过来？
妈妈: 放在窗边？
妈妈: 确实，这样一摆，真有点画龙点睛。
孩子: 现在这里好漂亮。
妈妈: 嗯，就这样吧。",妈妈: 确实，这样一摆，真有点画龙点睛。,点睛,加眼
907,纸上谈兵,filler,"妈妈: 你看，
妈妈: 这个村长说得挺热闹的。
妈妈: 计划写了一大堆。
妈妈: 可事情始终没开始。
妈妈: 村民们都不乐意了。
妈妈: 全是纸上谈兵。
孩子: 嗯。
孩子: 然后呢？",妈妈: 全是纸上谈兵。,谈兵,说兵
908,过河拆桥,filler,"爸爸: 小明刚才帮你把书搬过来，对吗？
孩子: 对。
爸爸: 那你为什么转身就走了？
孩子: 我想去玩积木。
爸爸: 我知道。
爸爸: 但是我们不能过河拆桥呀。
孩子: 我不是故意的。
爸爸: 那我们回去一起帮他一下吧。",爸爸: 但是我们不能过河拆桥呀。,拆桥,拆船
909,画蛇添足,filler,"实验员: 这张画已经很好看了。
孩子: 我还想再加点。
实验员: 加什么？
孩子: 一些亮片。
实验员: 可不加挺好的呀。
实验员: 加了反而有点画蛇添足。
孩子: 可是我喜欢。
孩子: 亮亮的。",实验员: 加了反而有点画蛇添足。,画蛇,画龙
910,一鼓作气,filler,"妈妈: 我们可以玩什么游戏？
孩子: 医生游戏，要生病吃药。
妈妈: 谁是病人？
孩子: 你。
妈妈: 我是病人啊，要吃药了哇。
妈妈: 那我一鼓作气先把药喝了。
孩子: 不行。
孩子: 我还没看呢。",妈妈: 那我一鼓作气先把药喝了。,作气,作力
,exp1-context,practice1,"妈妈: 小球滚到那里去了耶。
孩子: 哪里？
妈妈: 沙发底下。
妈妈: 好远哦。
孩子: 那怎么办？
妈妈: 你可以帮妈妈把小球拿过来吗？/你可以帮妈妈把小球拿[回来/回去]吗？
孩子: 不好。
孩子: 不要。",妈妈: 你可以帮妈妈把小球拿过来吗？,过来,过去
,exp1-context,practice2,"妈妈: 有一天夜里呢.
妈妈: 刮了大风.
妈妈: 到天亮的时候.
妈妈: 风才停下.
妈妈: 沼泽地的村民们纷纷从各自家里钻了出来 .
妈妈: 修补被大风破坏了的房屋.
妈妈: 它们就修房子 .
妈妈: 蜘蛛阿尔丁昨天刚结的几个新网也破了几个大窟窿.",妈妈: 修补被大风[破坏/损坏]了的房屋.,破坏,损坏
,exp1-context,practice3,"妈妈: 你画太阳吧.
孩子: 你帮我画房子.
妈妈: 我帮你画房子啊.
孩子: 因为我不会画嘛.
妈妈: 不会画没关系.
妈妈: 你可以把这个颜色涂在这里。
妈妈: 这个是黑颜色.
妈妈: 这个电视机还少一样东西.",妈妈: 你把这个颜色涂在这里.,把,将
,exp1-context,practice4,"妈妈: 我们有小推车了！
妈妈: 你看那边有什么?
孩子: 蛋蛋。
妈妈: 蛋蛋哦！
妈妈: 你很喜欢蛋蛋诶。
妈妈: 那要不要把推车推过去装蛋蛋？
妈妈: 要不要装蛋？
孩子: 好！",妈妈: 那要不要把推车推过去装蛋蛋？,过来,过去
,exp2-no_context,practice1,妈妈: 修补[被/把]大风破坏了的房屋.,,被,把
,exp2-no_context,practice2,妈妈: 你可以帮妈妈把小球拿[回来/回去]吗？,,回去,回来
,exp2-no_context,practice3,妈妈: 那要不要把推车推[过来/过去]装鸡蛋？,,过来,过去
,exp2-no_context,practice4,妈妈: 你[把/被]这个颜色涂在这里.,,把,被
